Date,DXY_R
9/26/2017,0.003453848
9/27/2017,0.004194902
9/28/2017,-0.002892084
9/29/2017,-0.000107358
10/2/2017,0.005156811
10/3/2017,0.000106905
10/4/2017,-0.001175601
10/5/2017,0.005349882
10/6/2017,-0.00170281
10/9/2017,-0.000639712
10/10/2017,-0.00480048
10/11/2017,-0.003537378
10/12/2017,0.001721213
10/13/2017,-0.00032224
10/16/2017,0.002041068
10/17/2017,0.002251276
10/18/2017,-0.001390491
10/19/2017,-0.000964053
10/20/2017,0.004610271
10/23/2017,0.00256142
10/24/2017,0.00021287
10/25/2017,-0.002660707
10/26/2017,0.009604119
10/27/2017,0.003276577
10/30/2017,-0.004530131
10/31/2017,0.000635041
11/1/2017,0.0028556
11/2/2017,-0.001370998
11/3/2017,0.002640194
11/6/2017,-0.002317263
11/7/2017,0.002005944
11/8/2017,-0.000421462
11/9/2017,-0.004532529
11/10/2017,-0.000529468
11/13/2017,0.001059424
11/14/2017,-0.006984824
11/15/2017,-0.000213194
11/16/2017,0.001279203
11/17/2017,-0.002874438
11/20/2017,0.004484283
11/21/2017,-0.001381856
11/22/2017,-0.007770048
11/24/2017,-0.004934553
11/27/2017,0.001509271
11/28/2017,0.003875134
11/29/2017,0
11/30/2017,-0.002680678
12/1/2017,-0.001182669
12/4/2017,0.003121636
12/5/2017,0.002038792
12/6/2017,0.002463097
12/7/2017,0.002029719
12/8/2017,0.001066087
12/11/2017,-0.000319478
12/12/2017,0.002450144
12/13/2017,-0.007120064
12/14/2017,0.000642171
12/15/2017,0.004706407
12/18/2017,-0.002448664
12/19/2017,-0.0024546
12/20/2017,-0.001283866
12/21/2017,-0.000749855
12/22/2017,0.000750418
12/26/2017,-0.000964071
12/27/2017,-0.002466256
12/28/2017,-0.004622176
12/29/2017,-0.005183531
1/2/2018,-0.002931014
1/3/2018,0.003375133
1/4/2018,-0.00336378
1/5/2018,0.001088721
1/8/2018,0.004132735
1/9/2018,0.002166111
1/10/2018,-0.002161429
1/11/2018,-0.005198787
1/12/2018,-0.009580806
1/16/2018,-0.00637575
1/17/2018,0.001659498
1/18/2018,-0.000441805
1/19/2018,0.000773481
1/22/2018,-0.001876979
1/23/2018,-0.003097334
1/24/2018,-0.010097692
1/25/2018,0.002017711
1/26/2018,-0.003579808
1/29/2018,0.002694487
1/30/2018,-0.00134359
1/31/2018,-0.000672777
2/1/2018,-0.00516099
2/2/2018,0.005977208
2/5/2018,0.003923834
2/6/2018,0.0004466
2/7/2018,0.007478581
2/8/2018,-0.000332362
2/9/2018,0.002327374
2/12/2018,-0.002543156
2/13/2018,-0.005653497
2/14/2018,-0.006465931
2/15/2018,-0.005947116
2/16/2018,0.00575688
2/20/2018,0.006958507
2/21/2018,0.004012494
2/22/2018,-0.003663432
2/23/2018,0.001448435
2/26/2018,-0.000667523
2/27/2018,0.006012035
2/28/2018,0.002766711
3/1/2018,-0.003200541
3/2/2018,-0.004207241
3/5/2018,0.001556593
3/6/2018,-0.005106561
3/7/2018,0.00022312
3/8/2018,0.005354797
3/9/2018,-0.000332967
3/12/2018,-0.002108936
3/13/2018,-0.002669611
3/14/2018,0.000446052
3/15/2018,0.004905262
3/16/2018,0.000998491
3/19/2018,-0.003657331
3/20/2018,0.005228042
3/21/2018,-0.006528759
3/22/2018,0.000891089
3/23/2018,-0.004673926
3/26/2018,-0.004584112
3/27/2018,0.003818982
3/28/2018,0.007720655
3/29/2018,0.000999378
4/2/2018,-0.001109251
4/3/2018,0.001665675
4/4/2018,-0.000665166
4/5/2018,0.003550033
4/6/2018,-0.003869091
4/9/2018,-0.002996393
4/10/2018,-0.002782725
4/11/2018,-0.000223195
4/12/2018,0.002009601
4/13/2018,0.000557136
4/16/2018,-0.004120301
4/17/2018,0.00100634
4/18/2018,0.001117136
4/19/2018,0.00357062
4/20/2018,0.004225017
4/23/2018,0.006864504
4/24/2018,-0.001869419
4/25/2018,0.004406753
4/26/2018,0.004277723
4/27/2018,-0.000218403
4/30/2018,0.003277201
5/1/2018,0.006641997
5/2/2018,0.000649054
5/3/2018,-0.001080943
5/4/2018,0.001731371
5/7/2018,0.001944474
5/8/2018,0.003989251
5/9/2018,-0.000859128
5/10/2018,-0.004191735
5/11/2018,-0.001187275
5/14/2018,0.000540253
5/15/2018,0.006804245
5/16/2018,0.001823622
5/17/2018,0.000856644
5/18/2018,0.001818744
5/21/2018,0.000427179
5/22/2018,-0.000747214
5/23/2018,0.004273058
5/24/2018,-0.00244658
5/25/2018,0.004371966
5/29/2018,0.006794776
5/30/2018,-0.007170726
5/31/2018,-0.001699458
6/1/2018,0.002127929
6/4/2018,-0.001804916
6/5/2018,-0.001382663
6/6/2018,-0.002449622
6/7/2018,-0.00277602
6/8/2018,0.001606006
6/11/2018,0.000320673
6/12/2018,0.00235094
6/13/2018,-0.000959531
6/14/2018,0.011311472
6/15/2018,0.000211079
6/18/2018,-0.000421996
6/19/2018,0.003588348
6/20/2018,-0.00031547
6/21/2018,-0.001998685
6/22/2018,-0.003689322
6/25/2018,-0.002539124
6/26/2018,0.004242692
6/27/2018,0.006442765
6/28/2018,0.001049407
6/29/2018,-0.007967313
7/2/2018,0.002536257
7/3/2018,-0.002951481
7/5/2018,-0.00126858
7/6/2018,-0.004551709
7/9/2018,0.000425362
7/10/2018,0.000318867
7/11/2018,0.006481777
7/12/2018,0.000950137
7/13/2018,-0.000632824
7/16/2018,-0.00253296
7/17/2018,0.004867199
7/18/2018,0.001158271
7/19/2018,0.000946529
7/20/2018,-0.007460324
7/23/2018,0.002223153
7/24/2018,-0.000633749
7/25/2018,-0.002642427
7/26/2018,0.004133097
7/27/2018,-0.000738786
7/30/2018,-0.003379795
7/31/2018,0.001377671
8/1/2018,0.00137586
8/2/2018,0.005812672
8/3/2018,-0.000315215
8/6/2018,0.002312403
8/7/2018,-0.001468121
8/8/2018,-0.001260271
8/9/2018,0.00420612
8/10/2018,0.009005246
8/13/2018,0.000311312
8/14/2018,0.003527378
8/15/2018,-0.000310204
8/16/2018,-0.000517011
8/17/2018,-0.005690678
8/20/2018,-0.002081124
8/21/2018,-0.006673618
8/22/2018,-0.001154734
8/23/2018,0.00493958
8/24/2018,-0.0049153
8/27/2018,-0.003888628
8/28/2018,-0.000633024
8/29/2018,-0.001266924
8/30/2018,0.001268531
8/31/2018,0.0044341
9/4/2018,0.002943021
9/5/2018,-0.003039206
9/6/2018,-0.001156312
9/7/2018,0.003683498
9/10/2018,-0.002306815
9/11/2018,-0.000945917
9/12/2018,-0.002735062
9/13/2018,-0.002742637
9/14/2018,0.004654136
9/17/2018,-0.004948421
9/18/2018,0.001163909
9/19/2018,-0.000739801
9/20/2018,-0.006768895
9/21/2018,0.003301001
9/24/2018,0.000424549
9/25/2018,-0.001379217
9/26/2018,0.000637469
9/27/2018,0.008599618
9/28/2018,0.002000021
10/1/2018,0.001155594
10/2/2018,0.002203557
10/3/2018,0.002617527
10/4/2018,-0.000104449
10/5/2018,-0.001357671
10/8/2018,0.001568647
10/9/2018,-0.00093972
10/10/2018,-0.001776735
10/11/2018,-0.005130405
10/12/2018,0.002104862
10/15/2018,-0.00157531
10/16/2018,-0.00021034
10/17/2018,0.005576002
10/18/2018,0.003347981
10/19/2018,-0.001981262
10/22/2018,0.0031345
10/23/2018,-0.00052081
10/24/2018,0.004897885
10/25/2018,0.002592554
10/26/2018,-0.003309878
10/29/2018,0.002283115
10/30/2018,0.004452267
10/31/2018,0.001236934
11/1/2018,-0.008751138
11/2/2018,0.002700478
11/5/2018,-0.001968127
11/6/2018,-0.000311344
11/7/2018,-0.003322259
11/8/2018,0.006666656
11/9/2018,0.002793926
11/12/2018,0.006500846
11/13/2018,-0.002460508
11/14/2018,-0.005138746
11/15/2018,0.001342944
11/16/2018,-0.004745682
11/19/2018,-0.002902446
11/20/2018,0.006445535
11/21/2018,-0.001032941
11/23/2018,0.00217143
11/26/2018,0.001547689
11/27/2018,0.003090584
11/28/2018,-0.005956681
11/29/2018,-0.000103337
11/30/2018,0.005063009
12/3/2018,-0.002364511
12/4/2018,-0.000721352
12/6/2018,-0.001650026
12/7/2018,-0.003098812
12/10/2018,0.00735674
12/11/2018,0.001748591
12/12/2018,-0.003593778
12/13/2018,0.00020607
12/14/2018,0.003915145
12/17/2018,-0.003489368
12/18/2018,0.000411957
12/19/2018,-0.001029421
12/20/2018,-0.007831842
